id	color	description
10	#ffff64	Cropland_rainfed
11	#ffff64	Cropland_rainfed_-_Herbaceous_cover
12	#ffff00	Cropland_rainfed_-_Tree_or_shrub_cover
20	#aaf0f0	Cropland_irrigated_or_post-flooding
30	#dcf064	Mosaic_cropland_(>50%)_/_natural_vegetation_(tree/shrub/herbaceous_cover)_(&lt;50%)
40	#c8c864	Mosaic_natural_vegetation_(tree/shrub/herbaceous_cover)_(>50%)_/_cropland_(&lt;50%)
50	#006400	Tree_cover_broadleaved_evergreen_closed_to_open_(>15%)
60	#00a000	Tree_cover_broadleaved_deciduous_closed_to_open_(>15%)
61	#00a000	Tree_cover_broadleaved_deciduous_closed_(>40%)
62	#aac800	Tree_cover_broadleaved_deciduous_open_(15-40%)
70	#003c00	Tree_cover_needleleaved_evergreen_closed_to_open_(>15%)
71	#003c00	Tree_cover_needleleaved_evergreen_closed_(>40%)
72	#005000	Tree_cover_needleleaved_evergreen_open_(15-40%)
80	#285000	Tree_cover_needleleaved_deciduous_closed_to_open_(>15%)
81	#285000	Tree_cover_needleleaved_deciduous_closed_(>40%)
82	#286400	Tree_cover_needleleaved_deciduous_open_(15-40%)
90	#788200	Tree_cover_mixed_leaf_type_(broadleaved_and_needleleaved)
100	#8ca000	Mosaic_tree_and_shrub_(>50%)_/_herbaceous_cover_(&lt;50%)
110	#be9600	Mosaic_herbaceous_cover_(>50%)_/_tree_and_shrub_(&lt;50%)
120	#966400	Shrubland
121	#966400	Shrubland_evergreen
122	#966400	Shrubland_deciduous
130	#ffb432	Grassland
140	#ffdcd2	Lichens_and_mosses
150	#ffebaf	Sparse_vegetation_(tree/shrub/herbaceous_cover)_(&lt;15%)
152	#ffd278	Sparse_shrub_(&lt;15%)
153	#ffebaf	Sparse_herbaceous_cover_(&lt;15%)
160	#00785a	Tree_cover_flooded_fresh_or_brakish_water
170	#009678	Tree_cover_flooded_saline_water
180	#00dc82	Shrub_or_herbaceous_cover_flooded_fresh/saline/brakish_water
190	#c31400	Urban_areas
200	#fff5d7	Bare_areas
201	#dcdcdc	Consolidated_bare_areas
202	#fff5d7	Unconsolidated_bare_areas
210	#0046c8	Water_bodies
220	#ffffff	Permanent_snow_and_ice
