Name	Code	Type
Boosted_Classification_Trees	ada	Classification
Bagged_AdaBoost	AdaBag	Classification
AdaBoost.M1	AdaBoost.M1	Classification
Adaptive_Mixture_Discriminant_Analysis	amdai	Classification
Adaptive-Network-Based_Fuzzy_Inference_System	ANFIS	Regression
Model_Averaged_Neural_Network	avNNet	Dual_Use
Naive_Bayes_Classifier_with_Attribute_Weighting	awnb	Classification
Tree_Augmented_Naive_Bayes_Classifier_with_Attribute_Weighting	awtan	Classification
Bagged_Model	bag	Dual_Use
Bagged_MARS	bagEarth	Dual_Use
Bagged_MARS_using_gCV_Pruning	bagEarthGCV	Dual_Use
Bagged_Flexible_Discriminant_Analysis	bagFDA	Classification
Bagged_FDA_using_gCV_Pruning	bagFDAGCV	Classification
Bayesian_Additive_Regression_Trees	bartMachine	Dual_Use
Bayesian_Generalized_Linear_Model	bayesglm	Dual_Use
Self-Organizing_Map	bdk	Dual_Use
Binary_Discriminant_Analysis	binda	Classification
Boosted_Tree	blackboost	Dual_Use
The_Bayesian_lasso	blasso	Regression
Bayesian_Ridge_Regression_(Model_Averaged)	blassoAveraged	Regression
Random_Forest_with_Additional_Feature_Selection	Boruta	Dual_Use
Bayesian_Ridge_Regression	bridge	Regression
Bayesian_Regularized_Neural_Networks	brnn	Regression
Boosted_Linear_Model	BstLm	Dual_Use
Boosted_Smoothing_Spline	bstSm	Dual_Use
Boosted_Tree	bstTree	Dual_Use
C5.0	C5.0	Classification
Cost-Sensitive_C5.0	C5.0Cost	Classification
Single_C5.0_Ruleset	C5.0Rules	Classification
Single_C5.0_Tree	C5.0Tree	Classification
Conditional_Inference_Random_Forest	cforest	Dual_Use
CHi-squared_Automated_Interaction_Detection	chaid	Classification
SIMCA	CSimca	Classification
Conditional_Inference_Tree	ctree	Dual_Use
Conditional_Inference_Tree	ctree2	Dual_Use
Cubist	cubist	Regression
Dynamic_Evolving_Neural-Fuzzy_Inference_System	DENFIS	Regression
Stacked_AutoEncoder_Deep_Neural_Network	dnn	Dual_Use
Linear_Distance_Weighted_Discrimination	dwdLinear	Classification
Distance_Weighted_Discrimination_with_Polynomial_Kernel	dwdPoly	Classification
Distance_Weighted_Discrimination_with_Radial_Basis_Function_Kernel	dwdRadial	Classification
Multivariate_Adaptive_Regression_Spline	earth	Dual_Use
Extreme_Learning_Machine	elm	Dual_Use
Elasticnet	enet	Regression
Ensemble_Partial_Least_Squares_Regression_with_Feature_Selection	enpls.fs	Regression
Ensemble_Partial_Least_Squares_Regression	enpls	Regression
Tree_Models_from_Genetic_Algorithms	evtree	Dual_Use
Random_Forest_by_Randomization	extraTrees	Dual_Use
Flexible_Discriminant_Analysis	fda	Classification
Fuzzy_Rules_Using_Genetic_Cooperative-Competitive_Learning_and_Pittsburgh	FH.GBML	Classification
Fuzzy_Inference_Rules_by_Descent_Method	FIR.DM	Regression
Ridge_Regression_with_Variable_Selection	foba	Regression
Fuzzy_Rules_Using_Chi's_Method	FRBCS.CHI	Classification
Fuzzy_Rules_with_Weight_Factor	FRBCS.W	Classification
Simplified_TSK_Fuzzy_Rules	FS.HGD	Regression
Generalized_Additive_Model_using_Splines	gam	Dual_Use
Boosted_Generalized_Additive_Model	gamboost	Dual_Use
Generalized_Additive_Model_using_LOESS	gamLoess	Dual_Use
Generalized_Additive_Model_using_Splines	gamSpline	Dual_Use
Gaussian_Process	gaussprLinear	Dual_Use
Gaussian_Process_with_Polynomial_Kernel	gaussprPoly	Dual_Use
Gaussian_Process_with_Radial_Basis_Function_Kernel	gaussprRadial	Dual_Use
Stochastic_Gradient_Boosting	gbm	Dual_Use
Multivariate_Adaptive_Regression_Splines	gcvEarth	Dual_Use
Fuzzy_Rules_via_MOGUL	GFS.FR.MOGUL	Regression
Fuzzy_Rules_Using_Genetic_Cooperative-Competitive_Learning	GFS.GCCL	Classification
Genetic_Lateral_Tuning_and_Rule_Selection_of_Linguistic_Fuzzy_Systems	GFS.LT.RS	Regression
Fuzzy_Rules_via_Thrift	GFS.THRIFT	Regression
Generalized_Linear_Model	glm	Dual_Use
Boosted_Generalized_Linear_Model	glmboost	Dual_Use
glmnet	glmnet	Dual_Use
Generalized_Linear_Model_with_Stepwise_Feature_Selection	glmStepAIC	Dual_Use
